Site,Date,TDS.mg.L,TSS.mg.L,NN.mg.L,TN.mg.L,TP.mg.L
Dearborn US,2020-10,185,2,0.05,0.28,0.035
Dearborn DS,2020-10,187,1,0.04,0.27,0.03
Hardy,2020-10,186,0,0.02,0.25,0.042
Cascade,2020-10,185,1,0,0.23,0.026
LPPC US,2020-11,NA,NA,NA,NA,NA
LPPC DS,2020-11,NA,NA,NA,NA,NA
Craig,2020-11,NA,NA,NA,NA,NA
Dearborn US,2020-11,NA,NA,NA,NA,NA
Dearborn DS,2020-11,NA,NA,NA,NA,NA
Hardy,2020-11,NA,NA,NA,NA,NA
Cascade,2020-11,NA,NA,NA,NA,NA
LPPC US,2020-12,NA,NA,NA,NA,NA
LPPC DS,2020-12,NA,NA,NA,NA,NA
Craig,2020-12,NA,NA,NA,NA,NA
Dearborn US,2020-12,NA,NA,NA,NA,NA
Dearborn DS,2020-12,NA,NA,NA,NA,NA
Hardy,2020-12,NA,NA,NA,NA,NA
Cascade,2020-12,NA,NA,NA,NA,NA
LPPC US,2021-01,NA,NA,NA,NA,NA
LPPC DS,2021-01,NA,NA,NA,NA,NA
Craig,2021-01,NA,NA,NA,NA,NA
Dearborn US,2021-01,NA,NA,NA,NA,NA
Dearborn DS,2021-01,NA,NA,NA,NA,NA
Hardy,2021-01,NA,NA,NA,NA,NA
Cascade,2021-01,NA,NA,NA,NA,NA
LPPC US,2021-02,NA,NA,NA,NA,NA
LPPC DS,2021-02,NA,NA,NA,NA,NA
Craig,2021-02,NA,NA,NA,NA,NA
Dearborn US,2021-02,NA,NA,NA,NA,NA
Dearborn DS,2021-02,NA,NA,NA,NA,NA
Hardy,2021-02,NA,NA,NA,NA,NA
Cascade,2021-02,NA,NA,NA,NA,NA
LPPC US,2021-03,NA,NA,NA,NA,NA
LPPC DS,2021-03,NA,NA,NA,NA,NA
Craig,2021-03,NA,NA,NA,NA,NA
Dearborn US,2021-03,NA,NA,NA,NA,NA
Dearborn DS,2021-03,NA,NA,NA,NA,NA
Hardy,2021-03,NA,NA,NA,NA,NA
Cascade,2021-03,NA,NA,NA,NA,NA
LPPC US,2021-04,NA,NA,NA,NA,NA
LPPC DS,2021-04,NA,NA,NA,NA,NA
